lemma,part_of_speech,translation,relations
banaaji',transitive animate verb,"spoil, ruin, damage h/ Paired with:banaajitoon","banaajitoon, banaaji', nishiwanaajitoon, nishwanaajitoon, nishwanaaji', nishiwanaajichige"
banaajisin,inanimate intransitive verb,it spoils Paired with:banaajishin See also:wanaajisin,"banaajishin, wanaajisin, banaajisin, wanaajishin"
banaadad,inanimate intransitive verb,"it is spoiled, is ruined, is destroyed Paired with:banaadizi See also:wanaadad","banaadizi, wanaadad, banaadad, wanaadizi, wanaadizi"
biinizikaa,manner adverb,for no reason; spontaneously; suddenly,
asabaabiiwaatig,inanimate noun,a spool (for thread),
emikwaan,inanimate noun,a ladle; a spoon,"mitigo-emikwaan, mitigwemikwaan"
zhakamodaw,transitive animate verb,spoon feed h/,
ingodwemikwaanens,number,one spoon See also:n,"ningodwemikwaanens, ingodwemikwaanens, ningodwaaswemikwaanens, ingodwaaswemikwaanens, nishwaaswemikwaanens"
mindaweganzhii,animate intransitive verb,s/he has white spots on fingernails,
gidagibii'an,transitive inanimate verb,draw dots or spots on it,
gidagaa,inanimate intransitive verb,"it is spotted, is multi-colored Paired with:gidagizi","gidagizi, gidagiigizi, gidagiigad, gidagaabikizi, gidagaabikad"
wiidigemaagan,animate noun,"a spouse, a husband, a wife, a partner (cohabitant), a companion (cohabitant)",
zeginikeshin,animate intransitive verb,s/he sprains h/ arm,
ziswam,transitive animate verb,spray water on h/ from the mouth Paired with:ziswandan,"ziswandan, ziswam"
babaamaajimo,animate intransitive verb,s/he spreads the news about,"dazhobizh, dazhobidoon, dazhwegin, zhizhoo'an, zhizhoo'"
zhingadeshim,transitive animate verb,lay h/ spread out Paired with:zhingadesidoon,"zhingadesidoon, zhingadeshim, zhingadesin, zhingadeshin"
zhingaden,transitive animate verb,spread h/ out Paired with:an,"zhingadenan, zhingaden"
ziigwan,inanimate intransitive verb,it is spring,awas-ziigwanong
mookijiwanibiig,inanimate noun,a spring (water),
dootooban,inanimate intransitive verb,it is springy ground,
awanibiisaa,inanimate intransitive verb,"it is misty, is  drizzling, is sprinkling (rain)",
zaagigi,animate intransitive verb,"it (animate; a plant) sprouts, comes up, grows out (of the ground) Paired with:n","zaagigin, zaagigi, zaagakii, zaagakii"
zesegaandag,animate noun,a black spruce,"gaawaandag, mina'ig, mina'ig, mashkodese"
mashkodese,animate noun,a spruce grouse,wadab
wadab,animate noun,a spruce root,
wadabii-makak,inanimate noun,a spruce root basket,
giimaabam,transitive animate verb,"look in at or into, peek in at h/; spy on h/ Paired with:giimaabandan",giimaabandan
gakakaa,inanimate intransitive verb,it is square Paired with:gakakizi,"gakakizi, gakakaa, gakakaabikizi, gakakaabikad, gakakiigizi, gakakiigad, gakakaakwad, gakakaakozi, gakakizh, gakakizh, gakakizhan, gakakizhwi, gakakizhan, gakakizh, gakakiigizhwi, gakakiigizhan, gakakisin, gakakishin, gakakitoon, gakaki'"
agosimaan,inanimate noun,"a cucurbit (a plant of the gourd family or its fruit): cucumber, gourd, melon, pumpkin, squash, watermelon See also:gichi-na",gichi-agosimaan
Gaa-waawiyegamaag,place name,"Squaw Lake, Minnesota",
giziibaakwad,inanimate intransitive verb,it (stick-like) squeaks,"giziibwewe, giziibwewe, giziibweweshkaa, giziibweweshkaa"
maagobidoon,class 2 transitive inanimate verb,"press, squeeze, or wring it to get liquid out Paired with:maagobizh","maagobizh, maagobidoon, ziinibizh, ziinibidoon"
ziindabi,animate intransitive verb,"s/he sits crowded in, squeezed in tight",
mimigwabi,animate intransitive verb,s/he squirms sitting,
ajidamoo,animate noun,a red squirrel,"zhagashkaandawe, misajidamoo, ajidamoo, ajidamoowayaan"
ajidamoowayaan,animate noun,a squirrel hide,
ajidamoo-nagwaagan,inanimate noun,a squirrel snare,
nibiiwi-baashkiziganens,inanimate noun,a squirt gun See also:biiwi-baashkizigaans,"nibiiwi-baashkizigaans, nibiiwi-baashkiziganens"
Ashkibagi-ziibiing,place name,"St. Paul, Minnesota",
bazhiba',transitive animate verb,"stab, prick h/; spear h/ (a fish) Paired with:an","bazhiba'an, bazhiba'"
okoshim,transitive animate verb,"pile, stack h/ Paired with:okosidoon","okosidoon, okoshim, okwaakosidoon, okwaakoshim"
wanaanimizi,animate intransitive verb,"s/he is confused, is in shock, is scared witless",
akwaandawaagan,inanimate noun,"something to climb up on or in: a stairway, a ladder, an elevator",
agwaagomaagozi,animate intransitive verb,"s/he smells moldy, smells stale Paired with:agwaagomaagwad","agwaagomaagwad, agwaagomaagozi"
mandaaminashk,inanimate noun,a cornstalk See also:na,"mandaaminashk, mandaaminashk"
naabesim,animate noun,"a male doga male horse, a stallion",
bootaagaadan,transitive inanimate verb,stamp it in a mortar,
oshtigwaanens,inanimate noun,a postage stamp,
akandoowin,inanimate noun,"a hunting stand or scaffold, a blind See also:akandoowaagan;mitigo-",akandoowaagan
niibawi,animate intransitive verb,s/he stands,"niibidekizowag, niibidekidewan, niibidekizh, niibidekidoon, niibawitoon, niibawi', bazigwinjise, namadakizo, namadakide"
namadakidoon,class 2 transitive inanimate verb,stand it upright Paired with:namadakizh,"namadakizh, namadakidoon"
badakide,inanimate intransitive verb,"it sticks up, stands, stands up (from a surface), is planted in",badakide
anang,animate noun,a star,
maajii-,lexical preverb,begin; start; start off,"maadakamigizi, maadakamigad, maajise, maadandan, maadam, maajigaa, maadaaboode, maajiigin, maajiigi, maajigaa, maajitoon, maaji', maajiishkaa, maajiishkaa, maajibiisaan, maajibiisaa, maajiibizo, maajiibide, maajigaa, maadaadodan, maadaajim, maadanokaazh, maadanokaadan, maajiikaw"
maajii-,lexical preverb,begin; start; start off,
maajiishkaa',transitive animate verb,"start h/ (e.g., a car, clock) Paired with:maajiishkaatoon","maajiishkaatoon, maajiishkaa'"
goshko',transitive animate verb,"startle, surprise h/",
goshkokaa,animate intransitive verb,"s/he is surprised, is startled",
gawanaandam,class 2 animate intransitive verb,s/he starves,
waasigani-bimidewigamig,inanimate noun,a gas station,
mazinichigan,animate noun,"a statue, a figurine, an effigy, a doll",
ishpaginzo,animate intransitive verb,"s/he is high-priceds/he is high in rank, status, or office Paired with:ishpaginde",ishpaginde
danaadizi,animate intransitive verb,s/he stays around a certain place,
minjimin,transitive animate verb,"hold h/ in place, steady h/ Paired with:an","minjiminan, minjimin, minjimishkaw, minjimishkan"
gimoodi,animate intransitive verb,s/he steals,
gimoodiwin,inanimate noun,"stealing, theft; a stolen item, loot",
giimooji-,lexical preverb,"secretly, in secret, stealthily",
baashkinede,inanimate intransitive verb,it steams Paired with:baashkinezo,"baashkinezo, baashkineyaabowate, baashkineyaabowaso, baashkinede"
ishkode-jiimaan,inanimate noun,"a steamboat, a ship",
manidoo-biiwaabik,inanimate noun,"steel, a magnet",
giishkadinaa,inanimate intransitive verb,"it is a cliff, is a steep bank",
aadikwe'an,transitive inanimate verb,steer it,"inikwe'an, inikwe'wi"
aadikwe'igan,inanimate noun,"something that steers: a steering wheel, a rudder; the dorsal fin of a fish",
okij,inanimate noun,a pipe stem,
dakokii,animate intransitive verb,"s/he steps, takes a step","dakokaazh, dakokaadan, baazhida'an, baazhida'wi, baazhida'"
dakokiiwin,inanimate noun,"a pace, a step (taken)",
nindoozhimikwem,dependent animate noun,my stepdaughter,
nimishoomenh,dependent animate noun,my stepfather; my uncle (parallel uncle: father's brother),
ninoshenh,dependent animate noun,my stepmother; my aunt (parallel aunt: mother's sister),
ndoozhim,dependent animate noun,my parallel nephew; my stepson,nindoozhim
naboob,inanimate noun,"soup, stew",
mitig,animate noun,a tree,"gaanjida'an, gaanjida', ombaakwa'an, ombaakwa'"
agokadoon,class 2 transitive inanimate verb,"attach it, stick it on Paired with:agokazh","agokazh, agokadoon, agoke, agoke, bazagoke, bazagoke"
badaka',transitive animate verb,"stick h/ or it (animate) with something sharp, prick h/ or it (animate), use a fork on it (animate)give h/ an injection, a shot Paired with:an","badaka'an, badaka', badakisidoon, badakishim, badakise, badakise, zhegonan, zhegon"
zaagizideni,animate intransitive verb,s/he sticks h/ foot out,"zaagaakosin, zaagaakoshin"
zaagisidoon,class 2 transitive inanimate verb,"put, set it sticking out Paired with:zaagishim","zaagishim, zaagisidoon, zaagishim, zaagisidoon"
bazagozi,animate intransitive verb,s/he is sticky Paired with:bazagwaa,"bazagwaa, bazagozi"
mashkawaakwajidoon,class 2 transitive inanimate verb,freeze it stiff Paired with:mashkawaakwajim,"mashkawaakwajim, mashkawaakwajidoon, mashkawaakwaji, mashkawaakwajim"
jiibadabi,animate intransitive verb,s/he sits stiffly,
bizaanishin,animate intransitive verb,s/he lies still,
geyaabi,temporal adverb,"still, yet See also:gaawiin ;giiyaabi","gaawiin geyaabi, geyaabi"
jiiswi,transitive animate verb,sting h/,
zazaagiz,animate noun,"a miser, someone who is stingy",
mashkawimaagozi,animate intransitive verb,"s/he smells strong, stinks Paired with:mashkawimaagwad","mashkawimaagwad, mashkawimaagozi, aakomaagozi, aakomaagwad, aakomaandan, aakomaam, aakomaaso, aakomaate"
waninawe'an,transitive inanimate verb,stir it See also:wanawe'an,wanawe'an
ombi',transitive animate verb,excite h/; stir h/ up; interest h/,
azhigan,inanimate noun,"a sock, a stocking",
nimisad,dependent inanimate noun,"my belly, stomach",
aakoshkade,animate intransitive verb,s/he has a stomachache See also:aakwashkade,aakwashkade
asin,animate noun,"stone, a stone; rock, a rock","asiniiwi, asiniiwan"
ishkwaataa,animate intransitive verb,"s/he is at the end of an activity; s/he stops an activity, stops working, quits working, quits a job","noogibizo, noogibide, boonigi, gibichigi, nagaashkaa, nagaashkaa, noogibizo, noogibide, boonaanagidoon, boonaanagidoone"
giba',transitive animate verb,"stop h/ up; plug, block h/ Paired with:an","giba'an, giba'"
noogise,animate intransitive verb,s/he suddenly comes to a stop Paired with:,"noogise, noogise"
gibichiwebinan,transitive inanimate verb,"stop it (with forceful hand movement), shut it down (as in an emergency) Paired with:gibichiwebin","gibichiwebin, gibisikaa, noogishkaa, noogishkaa, nagaashkaa, nagaashkaa"
noogin,transitive animate verb,"stop h/, stop h/ with the hand Paired with:an","nooginan, noogin, nagaawebishkaw, nagaawebishkan"
gibichii-agwaakwa'igan,inanimate noun,a stop sign See also:gibichiiwagwaakwa'igan,"gibichiiwagwaakwa'igan, gibichii-agwaakwa'igan"
asanjigoowigamig,inanimate noun,"a structure for storage: a storage lodge, a shed, a storage room",
adaawewigamig,inanimate noun,"a store, a shop, a trading post","wiisiniwin-adaawewigamig, wiisinii-adaawewigamig, biiwaabikwadaawewigamig, biiwaabiko-adaawewigamig"
ataason,animate intransitive verb with object,s/he stores (it),na'in
adaawewikwe,animate noun,"a store keeper, a merchant, a store clerk, a trader (female)",
nichiiwad,inanimate intransitive verb,"there is a severe storm, there is a catastrophe",
zegaanakwad,inanimate intransitive verb,"there are storm clouds, threatening clouds",
gichi-noodin,inanimate intransitive verb,"it is very windy, is stormy",
dibaajimowin,inanimate noun,a narrative; a story,"aadisookaan, aadizookaan, aajim, aadodan, dibaajimo, dibaajimotaw"
ishpimisagokaade,inanimate intransitive verb,it has an upper story,
aadizookewinini,animate noun,a storyteller,
gizhaabikizigan,inanimate noun,a stove,jibaakwewi-gizhaabikizigan
okijaabik,inanimate noun,"a pipe through which smoke goes: a stove pipe, a tail pipe",
gwayak,manner adverb,"straightright, correct","gwayakwaa, gwayakozi, gwayakwaabikizi, gwayakwaabikad, gwayakwaakwad, gwayakwaakozi, gwayakwaabiigizi, gwayakwaabiigad, gwayakozhan, gwayakozhwi, gwayakozh, gwayakogin, gwayakogi, gwayakosidoon, gwayakoshim, gwayakosin, gwayakoshin, gwayakwaakosin, gwayakwaakoshin, gwayakotoon, gwayako', gwayakobizh, gwayakobidoon, gwayakoboozh, gwayakoboodoon, gwayakoboozo, gwayakoboode, gwayakobizh, gwayakobidoon"
miinobidoon,class 2 transitive inanimate verb,pull and straighten it Paired with:miinobizh,"miinobizh, miinobizh, miinoshkaw, miinoshkan, miinoshim, miinosidoon"
zhaabobiiginan,transitive inanimate verb,strain it,
jakiiwii,animate intransitive verb,s/he strains h/ self in lifting,
zhaabobiiginigan,inanimate noun,a strainer,
mayagi-,lexical preverb,exotic; foreign; strange; unusual; different from the usual,"mayaginaagwad, mayaginaagozi, mayagimaagwad, mayagimaagozi, mayagitaagwad, mayagitaagozi, mayagendan, mayagenim, mayagendaagozi, mayagendaagwad, mayagipogwad, mayagipogozi"
biiwide,animate noun,"a visitor, a guest, a stranger",
apikan,inanimate noun,"a strap, a tump line a harness",
ode'imin,inanimate noun,a strawberry,
ziibiins,inanimate noun,"a stream, a creek",
mashkawizii,animate intransitive verb,s/he has inner strength; s/he or it (animate) is strong ,
naazhiiga'ige,animate intransitive verb,s/he stretches a hide,"zhiibiigibizh, zhiibiigibidoon, zhiibiiga'an, zhiibiiga'"
zhiibiigishkaa,inanimate intransitive verb,it stretches (as something sheet-like),
naazhiiga'igan,inanimate noun,a hide stretcher,
bakite',transitive animate verb,"hit, strike h/ Paired with:an","bakite'an, bakite', bakite'igaazo, bakite'igaade, baagijigaazo, baagijigaade"
biiminakwaanens,inanimate noun,"string, a string",
naabidoo',transitive animate verb,"thread h/; string h/ (e.g., beads)",naabidoo'
aazhawaabiiginan,transitive inanimate verb,string it across Paired with:aazhawaabiigin,"aazhawaabiigin, aazhawaabiiginan"
beshaa,inanimate intransitive verb,"it has a line, has a stripe Paired with:beshizi","beshizi, beshaa, beshibii'an, beshibii'wi"
beshaakwanashkidii,animate intransitive verb,s/he (a bird) has a striped tail,
baanizhan,transitive inanimate verb,"cut it into strips, filet it Paired with:baanizh",baanizh
niboowise,animate intransitive verb,s/he becomes paralyzed; s/he falls ill from bad medicine; s/he has a stroke,
babimose,animate intransitive verb,"s/he walks about, takes a stroll",
mashkawizi,animate intransitive verb,"s/he is strong, hard, dense Paired with:mashkawaa","mashkawaa, mashkawizi, zoongan, zoongi'"
mashkawizi,animate intransitive verb,"s/he is strong, hard, dense Paired with:mashkawaa","mashkawaa, mashkawizi, zoongan, mashkawimaate, mashkawimaaso, mashkawipogwad, mashkawipogozi, mashkawimaagwad, mashkawimaagozi"
madweyaabiigibijige,animate intransitive verb,"s/he strums something, plays a guitar",
bitaakozideshin,animate intransitive verb,"s/he bumps h/ foot on something, stubs h/ toe",
zhazhiibitam,class 2 animate intransitive verb,"s/he is stubborn,  is disobedient",
awanjish,manner adverb,even though; persistently; stubbornly,
baataashin,animate intransitive verb,s/he is stuck Paired with:baataasin,"baataasin, baataashin, baataase, baataase"
gikinoo'amawaagan,animate noun,a student See also:gikinoo'amaagan,"gikinoo'amaagan, gikinoo'amawaagan"
biindashkwe,animate intransitive verb,s/he stuffs something,"biindashkwaazh, biindashkwaadan, biindashkwaazo, biindashkwaade"
gagiibijaane,animate intransitive verb,s/he has a stuffed-up nose,
bizogeshin,animate intransitive verb,"s/he stumbles, trips","bizokaw, bizokan"
bakwanj,inanimate noun,a stump with exposed roots,
name,animate noun,a sturgeon,namekaa
namewi-bimide,inanimate noun,sturgeon grease,
namewasab,animate noun,a sturgeon net,
gagiibanagaskwe,animate intransitive verb,s/he stutters,
naabishkaw,transitive animate verb,take h/ place; substitute for h/; cover for h/ (by taking h/ place),
gashki'ewizi,animate intransitive verb,"s/he accomplishes, succeeds",gashki'
aanike-ogimaa,animate noun,"someone next in succession to the leader (e.g., a vice president)",
wiikwam,transitive animate verb,suck on h/ ; draw on h/ with mouthinvite h/ to a feast (especially as part of a religious ceremony) Paired with:wiikwandan See also:wiikom,"wiikwandan, wiikom, wiikwam, zoobam"
namebin,animate noun,a sucker (fish),namebinikaa
gezika,temporal adverb,suddenly,
aanimizi,animate intransitive verb,"s/he suffers, is in distress, is very sick",aanimitoon
de-,lexical preverb,enough; sufficient; suitable,"debise, debise"
gibwanaamozo,animate intransitive verb,s/he suffocates from smoke Paired with:gibwanaamode,gibwanaamode
ziinzibaakwad,inanimate noun,"sugar, maple sugar",
ombigamizige,animate intransitive verb,s/he boils something to sugar; s/he sugars off,
wiishkobi-jiis,inanimate noun,a sugar beet,
ziinzibaakwad-onaagaans,inanimate noun,a sugar bowl,
iskigamizigan,inanimate noun,"a sugar bush, a sugar camp",
ziiga'igan,inanimate noun,"a sugar cake, a sugar cone,",
iskigamizigan,inanimate noun,"a sugar bush, a sugar camp",
zhiishiigwaans,animate noun,"a sugar cake, a sugar cone,",
bikwaakwado-ziinzibaakwad,inanimate noun,a sugar cube,
aninaatig,animate noun,a maple See also:iniatig;ziinzibaakwadwaatig,"ininaatig, ininaatig, aninaatig, aninaatig"
naseyaawangwaan,inanimate noun,a sugaring trough,
nisidizo,animate intransitive verb,"s/he kills h/ self, commits suicide",
babaamiziiwayaan,inanimate noun,a business suit,
de-,lexical preverb,enough; sufficient; suitable,
babaamaadizii-makak,inanimate noun,a suitcase,
danens,animate noun,a club suite card,"giiyoon, giiwoon"
baakwaanaatig,animate noun,sumac,niibin
niibin,inanimate intransitive verb,it is summer,"awasi-niibinong, awas-niibinong"
andom,transitive animate verb,"ask for, call, summon h/ See also:n","nandom, andom, andonge"
giizis,animate noun,"sun, moon, a month",
